Recurso	Qué dolor aborda	Qué solución da	Formato	Enlace
Estrategia ORB Nasdaq	Quiere una estrategia concreta, con una hora fija, en lugar de más teoría.	Le da la operativa ORB en la apertura de Nueva York en vídeo y guía: rango inicial, confirmación y gestión del riesgo.	Vídeo + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/orb-nasdaq/
Manipulación del rango asiático	Opera de madrugada o en sesión europea sin ninguna referencia clara.	Le enseña a usar el rango asiático: contexto, manipulación y ejecución con el riesgo definido.	Vídeo + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/rango-asiatico/
El Judas Swing de las 9:30	Entra en el primer movimiento de la apertura y el precio se gira justo después. Siente que el mercado va a por su stop.	Le explica el Judas Swing con un ejemplo en mercado real: cómo reconocer la manipulación de las 9:30, esperar el giro y entrar hacia la liquidez del lado contrario.	Vídeo + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/judas-swing/
Los 3 tipos de fair value gap	Opera fair value gaps, unos le funcionan y otros no, y cuando deja la orden puesta el precio le pasa por encima.	Le enseña los tres tipos de FVG, cómo distinguirlos mirando la tercera vela y dónde está la entrada en cada caso. Vídeo y guía en PDF.	Vídeo + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/tipos-fair-value-gap/
Cómo leer las mechas	No sabe leer las velas y se pierde entre indicadores para decidir si entrar o no.	Le enseña a leer las mechas y, sobre todo, en qué zonas del gráfico significan algo y en cuáles son ruido.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/mechas-velas/
Backtesting del ORB	Cree que su estrategia funciona pero no tiene un solo dato que lo respalde, así que salta de una a otra.	Le da el vídeo del backtesting del ORB en Nasdaq y una plantilla de Google Sheets para registrar sus operaciones y ver sus números reales.	Vídeo + plantilla de Google Sheets (se hace su propia copia)	https://tradinversoacademy.github.io/recursos/recursos/backtesting-orb/
AMD: el ciclo de las sesiones	Opera a cualquier hora sin saber qué está haciendo el precio en cada sesión.	Le explica el ciclo de acumulación, manipulación y distribución entre Asia, Londres y Nueva York, con las confirmaciones de entrada.	Dos vídeos + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/amd/
AMD + IFVG	Entiende la teoría pero no sabe cómo se aplica en una sesión real, de principio a fin.	Le da una sesión completa en Nasdaq explicada paso a paso, de la liquidez a la ejecución, en una guía de 11 páginas.	Vídeo + guía PDF de 11 páginas	https://tradinversoacademy.github.io/recursos/recursos/amd-ifvg/
El precio va a por la liquidez	Le saltan los stops justo antes de que el precio se vaya a su favor, una y otra vez.	Le explica por qué el precio va a buscar sus stops, en qué niveles se acumula la liquidez y cómo entrar al lado contrario del barrido.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/manipulacion-maximos-minimos/
Liquidez + Estructura + FVG	Conoce conceptos sueltos pero no sabe en qué orden se usan dentro de una misma operación.	Le da un modelo de compra completo: barrida de liquidez, cambio de estructura y FVG, explicados dentro del mismo ejemplo.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/modelo-liquidez-estructura-fvg/
Los 5 conceptos esenciales	Está empezando y se pierde con tanto concepto y tanta nomenclatura.	Le explica desde cero los cinco conceptos con los que se lee el precio: FVG, IFVG, liquidez, estructura y cambio de estructura. Es el mejor primer envío.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/guia-5-conceptos-trading/
IFVG: cambio de intención	Entra en los giros demasiado pronto y se come el movimiento en contra.	Le enseña con vídeo y guía cómo un fair value gap invertido confirma el cambio de intención antes de buscar la entrada.	Vídeo + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/ifvg/
DATA: centro de control del trader	Ya opera con un método pero lo lleva todo en la cabeza o en notas sueltas y no mide nada.	Le enseña DATA: journal técnico y emocional, gestión de cuentas y trading plan en una sola herramienta.	Vídeo de la herramienta + guía PDF	https://tradinversoacademy.github.io/recursos/recursos/data-tradinverso/
¿Tu sistema es objetivo?	Dice que ya tiene un sistema, pero en realidad improvisa y cambia las reglas sobre la marcha.	Le da un test de diez preguntas que termina con un veredicto sobre si su sistema es objetivo. Muy útil para abrir conversación.	Test interactivo con veredicto (se desbloquea al registrarse)	https://tradinversoacademy.github.io/recursos/recursos/test-objetividad-sistema/
Claridad para tu trading	Lleva tiempo atascado y cambia de estrategia cada pocas semanas.	Le da un diagnóstico en vídeo de qué está frenando de verdad sus resultados antes de volver a cambiar de estrategia.	Vídeo diagnóstico (se desbloquea al registrarse)	https://tradinversoacademy.github.io/recursos/recursos/claridad-trader/
Checklist antes de entrar	Entra por impulso y después no sabe justificar por qué tomó esa operación.	Le da un checklist de contexto, riesgo, entrada y estado mental para pasar antes de arriesgar dinero.	Checklist en PDF	https://tradinversoacademy.github.io/recursos/recursos/checklist-entrada-mercado/
Protocolo mental del trader	Se sabe las reglas pero las rompe en caliente: revenge trading, sobreoperar, mover el stop.	Le da un protocolo para frenar el impulso y ejecutar con control cuando hay presión.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/protocolo-mental-trader/
El plan contrario del trader rentable	Lleva mucho tiempo sin avanzar y no sabe qué está haciendo mal.	Le señala los diez errores que tiene que dejar de repetir para proteger su proceso.	Guía PDF	https://tradinversoacademy.github.io/recursos/recursos/plan-trader-rentable/
La apertura de las 00:00 de Nueva York	No sabe con qué sesgo empezar el día y acaba improvisando en la apertura de Londres.	Le da la apertura de las 00:00 de Nueva York como referencia para preparar la sesión. Solo por enlace directo: no aparece en la biblioteca.	Guía PDF (solo por enlace directo, no sale en la biblioteca)	https://tradinversoacademy.github.io/recursos/recursos/apertura-0000-nueva-york/
Método C3	Ya ha consumido varios recursos y pregunta cómo trabajamos.	Le explica el Método C3: el sistema paso a paso con el que el alumno construye un proceso consistente.	Vídeo + reserva de llamada con el equipo	https://tradinversoacademy.github.io/recursos/recursos/metodo-c3/
Las 3 estrategias de TRADINVERSO	Quiere saber cómo operamos de verdad y si hay datos detrás antes de dar el siguiente paso.	Le enseña en vídeo las tres estrategias (Zonas, Liquidez y Nasdaq) con sus reglas, win-rate, riesgo-beneficio y los resultados del año, incluido el mes malo.	Vídeo de las 3 estrategias (se desbloquea al registrarse)	https://tradinversoacademy.github.io/recursos/recursos/estrategias-tradinverso/
Todo lo que incluye TRADINVERSO	Lead caliente que pregunta precio, qué incluye o cómo se entra.	Le detalla todo lo que incluye el programa: formación, acompañamiento, directos, comunidad y tecnología.	Vídeo + reserva de llamada con el equipo	https://tradinversoacademy.github.io/recursos/recursos/programa-tradinverso/
